"type","path","name","code"
"assertion","\i2b2\Demographics\Zip codes\South Carolina\Jackson\29831\","29831","DEM|ZIPCODE:29831"
"assertion","\i2b2\Demographics\Zip codes\South Carolina\Columbia\29226\","29226","DEM|ZIPCODE:29226"
"assertion","\i2b2\Demographics\Zip codes\South Carolina\Columbia\29240\","29240","DEM|ZIPCODE:29240"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Stone Mountain\30087\","30087","DEM|ZIPCODE:30087"
"assertion","\i2b2\Demographics\Zip codes\Washington\Sammamish\98074\","98074","DEM|ZIPCODE:98074"
"assertion","\i2b2\Demographics\Zip codes\Washington\Sammamish\98075\","98075","DEM|ZIPCODE:98075"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Shellsburg\52332\","52332","DEM|ZIPCODE:52332"
"assertion","\i2b2\Demographics\Zip codes\Maryland\Taylors Island\21669\","21669","DEM|ZIPCODE:21669"
"assertion","\i2b2\Demographics\Zip codes\West Virginia\North Spring\24869\","24869","DEM|ZIPCODE:24869"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Walton\67151\","67151","DEM|ZIPCODE:67151"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Kansas City\66111\","66111","DEM|ZIPCODE:66111"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Cassoday\66842\","66842","DEM|ZIPCODE:66842"
"assertion","\i2b2\Demographics\Zip codes\South Carolina\Sardinia\29143\","29143","DEM|ZIPCODE:29143"
